",,,","3PAr,","Age,","Arena,","Attend.,","Attend./G,","DRB%,","DRtg,","Defense Four Factors,","FT/FGA,","L,","MOV,","NRtg,","ORtg,","Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,","PL,","PW,","Pace,","Rk,","SOS,","SRS,","TOV%,","TS%,","Team,","W,","eFG%,"
10,.493,48,FedEx Forum,"600,687","14,651",.228,.291,25.2,.502,2.34,107.6,.136,91.9,Memphis Grizzlies *,2.55,0.20,.534,46,105.1,+2.5,72.5,13.0,36,34,15.7
11,.503,47,Toyota Center,"663,839","16,191",.219,.299,26.5,.500,2.18,111.3,.264,94.2,Houston Rockets,2.37,0.19,.550,43,109.0,+2.3,72.7,12.3,39,35,12.6
12,.486,46,Rose Garden Arena,"840,924","20,510",.231,.278,26.7,.510,1.52,108.8,.228,87.9,Portland Trail Blazers *,1.85,0.32,.533,48,107.1,+1.7,72.0,12.6,34,36,15.4
13,.494,45,Wells Fargo Center,"604,823","14,752",.231,.273,24.7,.487,1.50,106.6,.184,91.7,Philadelphia 76ers *,1.01,-0.50,.535,41,105.0,+1.6,74.5,12.3,41,37,13.5
14,.493,44,New Orleans Arena,"603,088","14,709",.220,.296,26.3,.501,0.89,106.2,.192,88.7,New Orleans Hornets *,1.28,0.39,.537,46,105.2,+1.0,76.2,12.8,36,38,14.4
15,.513,43,Madison Square Garden (IV),"808,879","19,729",.240,.304,25.3,.511,0.78,110.9,.303,95.6,New York Knicks *,0.48,-0.30,.561,42,110.1,+0.8,71.9,12.6,40,39,13.8
16,.467,38,Bradley Center,"631,912","15,412",.236,.287,26.7,.481,-0.84,101.6,.216,89.8,Milwaukee Bucks,-1.02,-0.17,.511,35,102.5,-0.9,74.8,13.0,47,44,14.7
17,.522,39,US Airways Center,"720,249","17,567",.211,.283,29.6,.513,-0.89,109.5,.271,94.4,Phoenix Suns,-0.46,0.43,.559,40,110.4,-0.9,71.6,13.2,42,43,13.1
18,.501,39,Philips Arena,"641,596","15,649",.211,.269,27.4,.495,-0.82,106.1,.222,89.3,Atlanta Hawks *,-1.10,-0.28,.542,44,107.0,-0.9,74.6,13.5,38,43,12.3
19,.486,38,Conseco Fieldhouse,"555,077","13,538",.237,.300,25.9,.487,-1.07,104.8,.244,94.7,Indiana Pacers *,-1.38,-0.30,.533,37,106.0,-1.2,74.1,14.1,45,44,12.8
20,.498,36,EnergySolutions Arena,"799,982","19,512",.275,.313,26.8,.505,-1.83,108.1,.191,91.0,Utah Jazz,-1.44,0.39,.544,39,110.1,-2.0,71.7,13.5,43,46,13.8
21,.510,35,Oracle Arena,"766,398","18,693",.259,.241,25.2,.509,-2.33,108.2,.248,94.8,Golden State Warriors,-2.00,0.33,.544,36,110.7,-2.5,69.3,13.3,46,47,14.5
22,.496,32,STAPLES Center,"727,462","17,743",.250,.332,24.6,.499,-3.13,105.3,.230,92.8,Los Angeles Clippers,-2.71,0.42,.535,32,108.7,-3.4,73.2,15.1,50,50,12.8
23,.495,31,The Palace of Auburn Hills,"683,080","16,660",.235,.279,27.2,.526,-3.60,107.7,.189,89.2,Detroit Pistons,-3.78,-0.18,.533,30,111.7,-4.0,72.1,12.5,52,51,13.8
24,.482,29,Time Warner Cable Arena,"649,694","15,846",.229,.314,26.9,.500,-4.00,103.4,.189,89.6,Charlotte Bobcats,-4.08,-0.08,.528,34,107.8,-4.4,75.2,14.1,48,53,12.9
25,.480,27,Power Balance Pavilion,"569,496","13,890",.233,.284,24.8,.513,-5.34,103.5,.183,95.2,Sacramento Kings,-4.80,0.54,.519,24,109.0,-5.5,74.4,14.4,58,55,13.5
26,.474,24,Prudential Center,"581,378","13,949",.241,.283,24.8,.503,-6.24,103.1,.201,89.9,New Jersey Nets,-6.28,-0.04,.517,24,109.9,-6.8,74.2,13.4,58,58,11.8
27,.491,24,Air Canada Centre,"680,255","16,592",.251,.293,24.5,.522,-6.28,106.1,.162,92.9,Toronto Raptors,-6.28,0.01,.533,22,112.9,-6.8,72.0,13.7,60,58,13.0
28,.483,24,Target Center,"624,960","15,243",.251,.282,23.8,.514,-6.63,104.2,.223,96.5,Minnesota Timberwolves,-5.97,0.67,.526,17,111.1,-6.9,73.7,15.1,65,58,13.1
29,.471,22,Verizon Center,"688,466","16,792",.249,.290,24.9,.512,-7.40,102.4,.172,93.8,Washington Wizards,-7.30,0.11,.513,23,110.2,-7.8,70.5,13.9,59,60,14.4
30,.472,18,Quicken Loans Arena,"824,595","20,112",.211,.312,26.6,.524,-9.01,102.2,.224,93.0,Cleveland Cavaliers,-8.88,0.14,.518,19,111.8,-9.6,73.3,13.4,63,64,12.7
