,3PAr,Age,DRB%,DRtg,Defense Four Factors,FT/FGA,FTr,L,MOV,ORB%,ORtg,Offense Four Factors,PL,PW,Pace,Rk,SOS,SRS,TOV%,TS%,Team,W,eFG%
59,23.6,-13.91,"14,757",.483,7,.206,13.9,-13.96,-15.2,70.9,.169,Charlotte Bobcats,110.4,95.2,.439,7,91.1,.276,"486,984",.206,59,-0.05,Time Warner Cable Arena
22,26.7,9.21,"18,203",.580,60,.197,14.4,9.15,+9.8,73.4,.244,Oklahoma City Thunder *,102.6,112.4,.527,64,93.3,.338,"746,323",.280,18,-0.06,Chesapeake Energy Arena
16,22.2,7.87,"19,983",.588,66,.200,13.7,7.03,+8.6,73.0,.285,Miami Heat *,103.7,112.3,.552,62,90.7,.297,"819,290",.224,20,-0.84,AmericanAirlines Arena
26,28.8,6.45,"19,227",.557,56,.229,13.9,6.43,+7.0,73.5,.265,Los Angeles Clippers *,103.6,110.6,.526,59,91.1,.286,"788,293",.203,23,-0.02,STAPLES Center
24,20.5,6.40,"18,432",.568,58,.179,14.0,6.67,+6.7,74.9,.264,San Antonio Spurs *,101.6,108.3,.531,58,94.2,.258,"755,700",.204,24,0.27,AT&T Center
25,31.4,5.09,"17,820",.549,57,.193,13.6,5.37,+5.3,71.8,.217,Denver Nuggets *,105.1,110.4,.515,55,95.1,.308,"730,616",.216,27,0.28,Pepsi Center
28,25.6,4.23,"19,033",.550,54,.216,11.7,3.73,+4.8,74.7,.354,New York Knicks *,106.3,111.1,.515,53,89.8,.258,"780,353",.196,29,-0.50,Madison Square Garden (IV)
26,31.0,4.15,"16,625",.514,56,.209,13.3,4.32,+4.6,74.3,.166,Memphis Grizzlies *,100.3,104.9,.472,54,88.4,.261,"681,613",.202,28,0.18,FedEx Forum
32,30.3,4.02,"15,270",.521,49,.197,14.3,3.34,+4.5,74.6,.245,Indiana Pacers *,99.8,104.3,.479,52,90.2,.293,"626,069",.219,29,-0.69,Bankers Life Fieldhouse
37,26.4,3.48,"16,672",.564,45,.196,14.9,3.69,+3.6,75.2,.349,Houston Rockets *,106.1,109.7,.525,50,96.1,.308,"683,564",.232,32,0.22,Toyota Center
33,30.9,1.78,"17,188",.536,49,.174,14.0,1.25,+2.0,73.7,.269,Brooklyn Nets *,106.2,108.2,.498,46,88.8,.299,"704,702",.219,36,-0.53,Barclays Center
37,27.0,1.16,"18,997",.548,45,.163,13.9,1.48,+1.2,74.3,.303,Los Angeles Lakers *,106.6,107.8,.512,44,94.4,.345,"778,877",.239,38,0.32,STAPLES Center
35,25.4,0.89,"19,374",.545,47,.211,14.0,1.32,+0.9,75.5,.239,Golden State Warriors *,105.5,106.4,.506,44,94.5,.255,"794,320",.201,38,0.42,Oracle Arena
38,22.2,0.40,"15,126",.546,44,.181,14.2,-0.08,+0.4,73.6,.286,Atlanta Hawks *,104.4,104.8,.517,42,92.6,.244,"620,146",.174,40,-0.48,Philips Arena
37,29.4,0.32,"21,877",.512,45,.206,13.6,-0.02,+0.3,73.6,.189,Chicago Bulls *,103.2,103.5,.470,42,89.3,.259,"896,944",.201,40,-0.33,United Center
39,28.8,-0.09,"18,632",.533,43,.226,13.8,0.30,-0.1,73.2,.206,Utah Jazz,106.8,106.7,.492,41,90.9,.281,"763,915",.214,41,0.38,EnergySolutions Arena
40,20.1,-0.22,"18,624",.542,41,.216,14.1,-0.62,-0.2,73.3,.215,Boston Celtics *,103.3,103.1,.503,40,91.7,.263,"744,960",.204,41,-0.40,TD Garden
41,21.8,-0.60,"20,036",.544,41,.227,13.0,-0.24,-0.6,73.1,.236,Dallas Mavericks,106.5,105.9,.506,39,94.1,.242,"821,490",.192,43,0.36,American Airlines Center
44,27.9,-1.50,"15,036",.510,38,.201,12.7,-1.83,-1.6,71.3,.232,Milwaukee Bucks *,105.2,103.6,.476,37,94.7,.236,"616,469",.174,45,-0.33,BMO Harris Bradley Center
48,25.5,-1.48,"18,145",.532,34,.247,13.0,-1.96,-1.6,73.4,.249,Toronto Raptors,107.5,105.9,.488,37,90.4,.274,"743,936",.216,45,-0.48,Air Canada Centre
51,27.4,-2.37,"16,340",.516,31,.187,13.8,-1.83,-2.5,74.0,.220,Minnesota Timberwolves,105.4,102.9,.473,34,92.8,.305,"669,956",.226,48,0.54,Target Center
53,24.6,-2.54,"16,343",.512,29,.206,14.2,-2.78,-2.8,74.6,.223,Washington Wizards,103.0,100.2,.475,33,92.2,.261,"670,070",.191,49,-0.25,Verizon Center
49,25.3,-3.17,"19,830",.536,33,.189,13.9,-2.53,-3.4,73.3,.284,Portland Trail Blazers,109.2,105.8,.498,32,91.4,.250,"813,012",.194,50,0.65,Rose Garden Arena
48,24.9,-3.34,"16,717",.509,34,.200,12.5,-3.51,-3.7,73.4,.209,Philadelphia 76ers,105.7,102.0,.481,31,91.0,.200,"685,412",.146,51,-0.17,Wells Fargo Center
53,28.3,-3.99,"14,685",.521,29,.209,14.3,-4.33,-4.3,73.0,.217,Detroit Pistons,108.1,103.8,.487,29,90.8,.282,"606,094",.197,53,-0.34,The Palace of Auburn Hills
55,29.2,-3.87,"13,803",.528,27,.208,14.0,-3.12,-4.4,74.4,.224,New Orleans Hornets,110.1,105.7,.489,30,88.5,.248,"565,930",.193,52,0.75,New Orleans Arena
58,28.1,-4.68,"16,192",.514,24,.225,13.0,-4.87,-5.1,72.6,.229,Cleveland Cavaliers,109.4,104.3,.473,28,92.3,.265,"663,882",.200,54,-0.19,Quicken Loans Arena
54,26.6,-4.88,"13,750",.532,28,.227,13.4,-4.26,-5.2,71.0,.243,Sacramento Kings,111.4,106.2,.491,28,93.6,.271,"563,743",.208,54,0.62,Sleep Train Arena
57,27.0,-6.46,"15,437",.512,25,.208,14.3,-5.75,-6.9,71.9,.210,Phoenix Suns,108.1,101.2,.477,23,93.4,.234,"632,913",.174,59,0.71,US Airways Center
62,25.4,-6.99,"17,627",.514,20,.195,13.7,-7.12,-7.5,74.6,.223,Orlando Magic,109.1,101.6,.485,22,92.2,.197,"722,716",.149,60,-0.14,Amway Center
61,25.7,-9.23,"15,324",.507,21,.197,13.2,-9.29,-10.0,71.1,.210,Charlotte Bobcats,111.5,101.5,.460,17,91.5,.310,"628,293",.233,65,-0.06,Time Warner Cable Arena
20,22.7,7.72,"18,415",.571,62,.184,13.5,8.00,+8.1,76.4,.257,San Antonio Spurs *,102.4,110.5,.537,61,95.0,.240,"755,031",.188,21,0.28,AT&T Center
25,25.0,6.98,"19,212",.567,57,.222,12.7,7.27,+7.3,72.5,.291,Los Angeles Clippers *,104.8,112.1,.526,59,95.9,.353,"787,692",.258,23,0.30,STAPLES Center
23,26.5,6.34,"18,203",.566,59,.221,14.0,6.66,+6.6,75.6,.271,Oklahoma City Thunder *,103.9,110.5,.520,58,95.4,.303,"746,323",.244,24,0.32,Chesapeake Energy Arena
28,20.6,4.76,"19,781",.590,54,.212,14.6,4.15,+5.1,73.0,.292,Miami Heat *,105.8,110.9,.554,54,91.2,.300,"811,036",.228,28,-0.61,AmericanAirlines Arena
31,25.1,4.80,"19,596",.550,51,.224,13.8,5.15,+4.9,76.3,.291,Golden State Warriors *,102.6,107.5,.517,54,96.2,.247,"803,436",.186,28,0.34,Oracle Arena
26,24.9,4.40,"17,501",.535,56,.197,14.3,3.63,+4.8,76.8,.235,Indiana Pacers *,99.3,104.1,.490,54,92.5,.290,"717,542",.226,28,-0.77,Bankers Life Fieldhouse
28,27.4,4.56,"18,124",.571,54,.193,14.6,5.06,+4.7,74.1,.330,Houston Rockets *,106.3,111.0,.531,53,96.3,.386,"743,082",.275,29,0.50,Toyota Center
28,28.0,3.99,"19,747",.548,54,.194,12.4,4.44,+4.1,74.7,.290,Portland Trail Blazers *,107.4,111.5,.504,52,94.9,.270,"809,612",.220,30,0.45,Moda Center
34,27.2,3.24,"18,252",.545,48,.237,13.2,2.55,+3.5,74.9,.285,Toronto Raptors *,105.3,108.8,.498,50,91.8,.306,"748,339",.239,32,-0.69,Air Canada Centre
34,26.4,2.63,"15,872",.558,48,.237,14.0,3.02,+2.8,73.7,.300,Phoenix Suns,106.7,109.5,.519,48,95.8,.293,"650,739",.222,34,0.39,US Airways Center
42,27.4,2.67,"14,565",.535,40,.177,12.2,3.10,+2.7,74.4,.245,Minnesota Timberwolves,106.2,108.9,.486,48,97.3,.321,"597,157",.249,34,0.43,Target Center
33,24.6,2.40,"19,951",.564,49,.229,12.7,2.91,+2.5,72.7,.274,Dallas Mavericks *,108.7,111.2,.526,48,93.5,.253,"817,982",.201,34,0.50,American Airlines Center
34,27.2,1.85,"21,716",.518,48,.189,14.2,1.20,+2.0,75.4,.222,Chicago Bulls *,100.5,102.5,.471,47,90.2,.290,"890,370",.226,35,-0.66,United Center
32,28.3,1.57,"16,718",.529,50,.199,13.1,2.18,+1.7,75.7,.171,Memphis Grizzlies *,104.6,106.3,.494,46,89.9,.248,"685,458",.184,36,0.61,FedEx Forum
38,25.2,1.27,"17,026",.538,44,.220,13.6,0.48,+1.4,75.7,.246,Washington Wizards *,104.6,106.0,.506,45,93.2,.248,"698,068",.181,37,-0.79,Verizon Center
39,21.9,-0.22,"15,519",.522,43,.183,11.7,-0.89,-0.2,77.6,.219,Charlotte Bobcats *,103.8,103.6,.481,40,92.4,.297,"636,268",.219,42,-0.67,Time Warner Cable Arena
44,21.0,-0.48,"14,231",.554,38,.196,14.3,-0.88,-0.5,74.4,.316,Atlanta Hawks *,106.4,105.9,.515,40,94.6,.266,"587,927",.208,42,-0.40,Philips Arena
45,25.1,-0.79,"19,812",.541,37,.245,12.5,-1.40,-0.8,74.3,.302,New York Knicks,109.1,108.3,.505,39,90.3,.248,"812,292",.189,43,-0.61,Madison Square Garden (IV)
38,21.7,-1.00,"17,252",.555,44,.236,14.1,-1.58,-1.0,72.3,.301,Brooklyn Nets *,107.7,106.7,.514,38,91.4,.313,"707,331",.236,44,-0.58,Barclays Center
46,27.5,-2.15,"16,900",.536,36,.233,14.0,-1.40,-2.2,74.5,.278,Denver Nuggets,108.2,106.0,.497,35,98.1,.306,"692,898",.222,47,0.75,Pepsi Center
48,26.9,-2.71,"16,391",.537,34,.249,12.9,-1.98,-2.9,73.8,.193,New Orleans Pelicans,110.1,107.2,.495,33,92.2,.286,"672,029",.220,49,0.73,Smoothie King Center
